default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,discoverymethod_encoded,soltype_encoded,disc_facility_encoded,st_metratio_encoded,pl_rade_st_ratio,st_density_est,pl_density_est,pl_eq_temp,vmag_minus_kmag,vmag_minus_gaiamag,pl_orbper_uncertainty,pl_rade_uncertainty,st_teff_uncertainty,st_rad_uncertainty,st_mass_uncertainty,sy_dist_uncertainty,sy_vmag_uncertainty,sy_kmag_uncertainty,sy_gaiamag_uncertainty
0,1,1,0,9.795546,0.00036,-0.000354,0.0,2.6,0.5,-0.4,0.0,0.23,0.04,-0.04,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.67,0.1179946836892603,-0.12191487317829458,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,18.4241015,3.0970732,109.218,0.931,-0.916,12.977,0.103,-0.103,9.856,0.023,-0.023,12.55,0.000274,-0.000274,2,0,3,3,3.8805970149253732,2.901720936529469,0.013086026399635867,692.4748322138064,3.1210000000000004,0.4269999999999996,0.000714,0.9,220.85105811893197,0.23990955686755489,0.204012619506448,1.847,0.206,0.046,0.000548
0,1,1,0,6.327,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5673.0,140.27,-130.17,0.0,0.975383,0.047664,-0.051748,0.0,1.008,0.114669,-0.146234,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.46318,0.071166,-0.085972,0.0,202.0161895,-15.9379749,113.123,0.701,-0.691,10.364,0.008,-0.008,8.687,0.024,-0.024,10.1214,0.000803,-0.000803,2,0,3,3,8.665853581212511,1.0862629980012897,0.001249338573167173,1043.2488843531478,1.6770000000000014,0.24260000000000126,23.46582680073269,5.6581920822075205,270.44,0.099412,0.260903,1.392,0.016,0.048,0.001606
1,1,0,0,25.58142,0.02417,-0.01921,0.0,8.35,1.23,-0.93,0.0,0.745,0.11,-0.083,0.0,0,5409.94,60.28,-60.28,0.0,1.9082,0.1179946836892603,-0.12191487317829458,0.0,0.94,0.113325542503864,-0.090687077002584,0.0,-0.027,0.058,-0.058,0.0,3.84995,0.08070892459016393,-0.0825079306791569,0.0,188.5274815,-4.8499667,1347.93,73.065,-73.065,14.538,0.172,-0.172,12.679,0.026,-0.026,14.357,0.00036,-0.00036,2,0,3,1,4.3758515878838695,0.13528703510369863,0.0012796666339593037,883.7005471059404,1.859,0.18100000000000094,0.04338,2.16,120.56,0.23990955686755489,0.204012619506448,146.13,0.344,0.052,0.00072
1,1,1,0,3.572326,0.00018,-0.000155,0.0,2.417,0.187,-0.183,0.0,0.21563067,0.01668305,-0.01632619,0.0,0,5387.0,138.0,-138.0,0.0,0.966,0.06,-0.057,0.0,0.937,0.406,-0.285,0.0,0.11,0.235,-0.235,0.0,4.435,0.15,-0.15,0.0,79.9516586,21.2591617,199.354,1.598,-1.574,11.865,0.08,-0.08,9.95,0.017,-0.017,11.6421,0.000365,-0.000365,2,1,3,0,2.502070393374741,1.0394610290950845,0.0152714607781777,1207.4213011664604,1.915000000000001,0.222900000000001,0.000335,0.37,276.0,0.11699999999999999,0.6910000000000001,3.172,0.16,0.034,0.00073
0,1,1,0,50.9254,0.0041,-0.004,0.0,2.48,0.24,-0.38,0.0,0.221,0.021,-0.034,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.702,0.049,-0.034,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,132.1268608,15.6558964,321.722,3.7605,-3.7605,14.0,0.08,-0.08,11.654,0.019,-0.019,13.7484,0.000208,-0.000208,2,0,3,3,3.532763532763533,2.5227180523212964,0.01448896059212514,409.1663232860298,2.346,0.2515999999999998,0.0081,0.62,220.85105811893197,0.083,0.204012619506448,7.521,0.16,0.038,0.000416
0,1,1,0,0.961918,1.3e-05,-1.3e-05,0.0,0.73,0.2,-0.2,0.0,0.06512635,0.01784284,-0.01784284,0.0,0,3775.0,186.0,-186.0,0.0,0.31,0.08,-0.08,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.1,0.15,-0.15,0.0,5.0,0.07,-0.07,0.0,293.8330329,-28.498475,90.5494,0.2767,-0.275,14.044,0.038,-0.038,9.997,0.021,-0.021,13.1913,0.000537,-0.000537,2,1,3,0,2.3548387096774195,29.29509899074932,0.1674126066470103,751.1073843774836,4.047000000000001,0.8527000000000005,2.6e-05,0.4,372.0,0.16,0.204012619506448,0.5517000000000001,0.076,0.042,0.001074
1,1,0,0,0.98972,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5424.29,39.06,-39.06,0.0,1.13922,0.1179946836892603,-0.12191487317829458,0.0,0.94,0.113325542503864,-0.090687077002584,0.0,0.1621,0.0377,-0.0377,0.0,4.29798,0.08070892459016393,-0.0825079306791569,0.0,135.9645577,21.7455039,689.484,16.295,-16.295,14.228,0.16,-0.16,12.097,0.019,-0.019,13.969,0.001298,-0.001298,2,0,3,1,7.4195732725933565,0.6357773491915321,0.001249338573167173,2024.191192207836,2.1310000000000002,0.25900000000000034,23.46582680073269,5.6581920822075205,78.12,0.23990955686755489,0.204012619506448,32.59,0.32,0.038,0.002596
0,1,2,0,5.3410507,2.57e-05,-2.57e-05,0.0,3.12,0.22,-0.21,0.0,0.27834824,0.01962712,-0.01873498,0.0,0,4953.0,71.0,-71.0,0.0,0.726,0.052,-0.052,0.0,0.81,0.02,-0.02,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.598,0.017,-0.017,0.0,169.4490102,3.8665038,109.749,0.615,-0.609,11.726,0.037,-0.037,9.454001,0.025,-0.025,11.527,0.000904,-0.000904,2,1,3,3,4.297520661157025,2.1167772377016654,0.009164835992683626,862.3372692788786,2.271999000000001,0.19900000000000162,5.14e-05,0.43,142.0,0.104,0.04,1.224,0.074,0.05,0.001808
1,1,0,0,0.575349,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5033.0,167.0,-167.0,0.0,1.04575,0.1179946836892603,-0.12191487317829458,0.0,0.84,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.32349,0.08070892459016393,-0.0825079306791569,0.0,136.0199607,17.8569949,1354.33,133.28,-112.09,16.17,0.332,-0.332,13.987,0.045,-0.045,16.0431,0.011847,-0.011847,2,0,3,3,8.082740868853744,0.7345065386971454,0.001249338573167173,2196.9193786747387,2.1830000000000016,0.12690000000000268,23.46582680073269,5.6581920822075205,334.0,0.23990955686755489,0.204012619506448,245.37,0.664,0.09,0.023694
1,1,0,0,0.505602,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,4830.0,166.0,-166.0,0.0,0.907577,0.1179946836892603,-0.12191487317829458,0.0,0.78,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.4144,0.08070892459016393,-0.0825079306791569,0.0,139.7384159,15.1904093,831.761,44.464,-40.251,15.541,0.126,-0.126,13.224,0.033,-0.033,15.5199,0.013315,-0.013315,2,0,3,3,9.313288308985136,1.0433839661625093,0.001249338573167173,2076.030666483711,2.317,0.021100000000000563,23.46582680073269,5.6581920822075205,332.0,0.23990955686755489,0.204012619506448,84.715,0.252,0.066,0.02663
