koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,1264.67,307.23,-276.48,1741.5,1.0,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563,-0.0621223329736743,-0.03507142062658067,-0.12081969645901874,0.3296384434825009
0,0,0,0,214.881456,0.003917,-0.003917,213.4044,0.0132,-0.0132,0.023,0.438,-0.023,9.581,0.404,-0.404,759.2,48.7,-48.7,2.68,0.29,-0.37,286.0,1.59,0.49,-0.47,16.1,1.0,5323.0,79.0,-79.0,4.378,0.126,-0.084,0.995,0.111,-0.135,286.05243,39.09605,15.188,-0.0829074010865618,-0.035071452508934405,-0.28102959193562904,-0.8289546454333642
1,0,0,0,389.14115,0.02672,-0.02672,309.5721,0.0264,-0.0264,0.0973,0.3752,-0.0971,7.93,1.2,-1.2,347.4,51.5,-51.5,1.67,0.69,-0.15,250.0,0.92,1.09,-0.24,10.1,1.24365372098069,6043.0,156.0,-176.0,4.505,0.048,-0.291,0.894,0.365,-0.08,290.30505,41.838459,14.534,-0.08523801570107185,-0.035071452925322016,-0.28307136721769466,-0.9040770972299678
0,0,0,0,4.081411554,8.9e-06,-8.9e-06,133.85992,0.00177,-0.00177,0.876,0.05,-0.614,2.3239,0.0547,-0.0547,171.9,5.3,-5.3,1.0,0.07,-0.03,755.0,77.0,18.58,-10.17,36.9,1.0,4498.0,90.0,-90.0,4.661,0.012,-0.042,0.635,0.045,-0.019,291.46866,40.343849,13.256,-0.08606585842444577,-0.03507145300886782,-0.2813332596759736,-0.13526776409722438
0,0,0,0,449.87203,0.012,-0.012,298.195,0.0157,-0.0157,0.1377,0.3263,-0.1376,6.539,0.517,-0.517,1130.0,135.0,-135.0,2.59,0.75,-0.19,199.0,0.37,0.33,-0.09,10.5,1.0,5310.0,172.0,-139.0,4.578,0.029,-0.175,0.786,0.226,-0.059,288.62769,51.400131,15.29,-0.08120855556388765,-0.035071451989692595,-0.27563762957913013,-0.9277446882190126
0,0,0,0,2.248288213,2.61e-06,-2.61e-06,133.425805,0.000957,-0.000957,0.004,0.46,-0.004,2.0361,0.0311,-0.0311,263.2,5.0,-5.0,1.25,0.08,-0.06,1127.0,380.75,87.12,-61.45,59.7,1.0,5103.0,101.0,-101.0,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693,-0.08603909028651431,-0.03507145300659877,-0.27814678880163957,0.1868758687148822
0,0,0,0,4.51005082,1.529e-05,-1.529e-05,134.56954,0.00287,-0.00287,0.115,0.354,-0.115,2.1533,0.0872,-0.0872,294.8,16.1,-16.1,1.74,0.24,-0.24,1063.0,301.74,112.58,-89.14,21.5,1.0,5362.0,80.0,-72.0,4.352,0.144,-0.108,1.032,0.142,-0.142,296.04233,45.985142,14.979,-0.08575177184052994,-0.03507145298048989,-0.2777065645367892,0.04948241698131675
1,0,0,0,428.32173928,9.467e-05,-9.467e-05,276.530352,0.000187,-0.000187,0.531,0.005,-0.004,40.5992,0.0113,-0.0113,317000.0,133.0,-133.0,49.76,11.17,-5.56,220.0,0.56,0.38,-0.17,4594.8,1.0,5662.0,169.0,-152.0,4.532,0.063,-0.147,0.806,0.181,-0.09,291.54391,42.638988,14.173,0.08379713360611228,-0.03506392908706858,0.16434562816592893,-0.9193621584893726
0,0,0,0,14.8200596,0.0001119,-0.0001119,133.39933,0.00538,-0.00538,0.059,0.367,-0.059,3.902,0.201,-0.201,184.9,10.3,-10.3,0.96,0.06,-0.04,552.0,21.92,4.66,-3.27,21.9,1.0,4825.0,96.0,-96.0,4.603,0.018,-0.045,0.732,0.043,-0.029,294.39105,44.762959,14.146,-0.08680934287809473,-0.03507145306162156,-0.2828652045452836,-0.46014748197103994
0,0,0,0,56.637918,0.0007039,-0.0007039,135.51975,0.00989,-0.00989,0.298,0.184,-0.298,6.172,0.26,-0.26,589.7,30.8,-30.8,3.68,0.57,-0.85,570.0,24.87,10.35,-10.98,20.9,2.0,5661.0,85.0,-77.0,4.09,0.203,-0.087,1.522,0.236,-0.353,288.91644,39.594711,15.151,-0.0836855242986294,-0.035071452681772634,-0.2800900534783863,-0.543514073720459
0,1,0,0,53.220416998,5.752e-06,-5.752e-06,138.5798799,8.96e-05,-8.96e-05,0.248,0.005,-0.001,17.7344,0.00653,-0.00653,72895.0,19.3,-19.3,55.22,7.84,-15.7,655.0,43.63,16.73,-22.46,4563.5,1.0,5653.0,84.0,-76.0,3.905,0.217,-0.093,2.057,0.292,-0.585,290.15335,40.90163,13.613,-0.014717739621923364,-0.03507083454527449,-0.048733795011263695,-0.4512515266835291
