koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,4.807103254,5.897e-06,-5.897e-06,134.640371,0.000956,-0.000956,0.94,0.007,-0.651,0.9393,0.0357,-0.0357,450.5,18.9,-18.9,2.96,0.45,-0.41,1088.0,330.84,135.45,-98.38,32.9,2.0,5534.0,82.0,-74.0,4.338,0.138,-0.103,1.08,0.165,-0.15,291.3905,42.180592,14.466,-0.0827739284755169,-0.03507145247545505,-0.2579579621377509,0.039488896929947954
0,0,0,0,14.5555096,0.0001733,-0.0001733,132.8686,0.0113,-0.0113,0.528,0.437,-0.315,2.07,0.375,-0.375,725.0,122.0,-122.0,2.03,0.26,-0.18,594.0,29.45,13.9,-8.26,8.1,1.0,5176.0,184.0,-184.0,4.612,0.033,-0.083,0.738,0.097,-0.065,294.35034,46.14957,16.897,-0.08274587282489491,-0.03507145246826898,-0.2654130186670833,-0.45798182305748875
0,0,0,0,131.485184,0.001433,-0.001433,177.48749,0.00575,-0.00575,0.578,0.05,-0.454,5.294,0.245,-0.245,557.8,33.7,-33.7,3.03,0.52,-0.51,400.0,6.08,2.83,-2.21,19.4,1.0,5765.0,105.0,-116.0,4.236,0.162,-0.108,1.242,0.209,-0.209,287.1532,42.421612,14.895,-0.08362413667045254,-0.03507145266946971,-0.27952416190752977,-0.7337966023362278
0,0,0,0,1.55400389,9.87e-07,-9.87e-07,169.830304,0.000523,-0.000523,0.016,0.286,-0.015,1.7664,0.0161,-0.0161,465.8,6.6,-6.6,1.59,0.31,-0.12,1313.0,704.5,426.4,-167.41,82.1,2.0,5409.0,162.0,-146.0,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881191,14.701,-0.08449444483977492,-0.03507145282415577,-0.2704000026736436,0.3199508491399591
1,0,0,0,367.761848,0.006747,-0.006747,194.7697,0.0107,-0.0107,0.025,0.441,-0.025,4.891,0.392,-0.392,428.0,49.6,-49.6,20.06,0.52,-4.17,623.0,35.55,3.67,-17.79,9.8,1.0,5348.0,63.0,-295.0,2.897,0.045,-0.014,9.888,0.257,-2.058,290.87155,47.753368,10.736,-0.08478425636845753,-0.03507145286676567,-0.2805531733818891,-0.4474557745605042
1,0,0,0,551.49832,0.02443,-0.02443,387.3411,0.0289,-0.0289,0.9478,0.0499,-0.037,40.92,2.3,-2.3,1874.4,99.2,-99.2,4.89,2.07,-0.39,215.0,0.51,0.65,-0.13,37.0,1.0,5926.0,174.0,-180.0,4.532,0.032,-0.302,0.887,0.375,-0.071,294.74234,43.909351,15.536,-0.07494677863439024,-0.03507144777613685,-0.28295622417205013,-0.9350124057356568
1,0,0,0,87.775799,0.001159,-0.001159,183.4282,0.0134,-0.0134,0.8114,0.1603,-0.5478,1.862,0.446,-0.446,450.0,101.0,-101.0,2.44,0.88,-0.35,409.0,6.61,7.19,-2.25,6.3,1.0,5604.0,166.0,-148.0,4.375,0.124,-0.239,1.025,0.372,-0.147,292.49271,42.550739,15.429,-0.0837910733362483,-0.03507145270241455,-0.2716691777840938,-0.7119182052612523
0,0,0,0,4.64622383,1.616e-05,-1.616e-05,354.58863,0.00229,-0.00229,0.88,0.042,-0.625,2.5137,0.0642,-0.0642,446.5,17.4,-17.4,1.82,0.12,-0.07,830.0,112.18,25.69,-16.94,28.2,3.0,4955.0,100.0,-100.0,4.61,0.018,-0.046,0.721,0.047,-0.029,288.53867,40.61615,15.565,-0.08338511079559784,-0.035071452619439544,-0.2753600300898714,-0.13736366142095205
0,0,0,0,34.1420506,0.0002289,-0.0002289,136.03624,0.00559,-0.00559,0.105,0.334,-0.105,2.945,0.179,-0.179,788.0,63.1,-63.1,1.06,0.13,-0.16,248.0,0.89,0.33,-0.3,13.3,4.0,3526.0,71.0,-78.0,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921,-0.08269802572076035,-0.0350714524558933,-0.27017687841803223,-0.7280194377061076
0,0,0,0,38.5576546,0.0001765,-0.0001765,163.85063,0.00407,-0.00407,0.911,0.025,-0.663,5.794,0.199,-0.199,993.0,26.8,-26.8,4.02,0.62,-0.36,550.0,21.71,8.73,-4.66,39.7,2.0,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,0.161,-0.094,290.46176,40.562462,15.386,-0.07973332376684951,-0.03507145135461474,-0.2757197520232477,-0.5766463899223314
