ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
342.755394,-71.741896,-12.935,0.037,-0.037,0.0,7.404,0.039,-0.039,0.0,2460128.431989,0.006342,-0.006342,0,16.3764188,0.0003377,-0.0003377,0,4.775,1.016,-1.016,0,1230.0,4.08131,-4.08131,0,4.23355,0.33228,-0.33228,0,115.374,913.0,11.3326,0.006,-0.006,0,376.59,4.0305,-4.0305,0,6397.0,134.8,-134.8,0,4.36,0.09,-0.09,0,1.24,0.05,-0.05,0
101.595337,-75.444127,41.801,0.021,-0.021,0.0,44.798,0.03,-0.03,0.0,2459036.823688,0.001571,-0.001571,0,1.0929203,9.8e-06,-9.8e-06,0,1.5258481,0.2158204,-0.2158204,0,377.4316425,40.40569,-40.40569,0,1.3599954,1.3376256,-1.3376256,0,458.2468016,1180.0342431,12.3813,0.006,-0.006,0,155.501,0.309,-0.309,0,4361.0,128.258,-128.258,0,4.59663,0.103323,-0.103323,0,0.687025,0.0593969,-0.0593969,0
10.162056,-60.880424,14.062,0.031,-0.031,0.0,5.925,0.023,-0.023,0.0,2459064.337666,0.000901,-0.000901,0,7.8369842,1.05e-05,-1.05e-05,0,6.8077198,0.0998194,-0.0998194,0,14532.9486121,232.71725,-232.71725,0,21.4721115,1.2691845,-1.2691845,0,434.3612918,1164.3472682,12.937,0.006,-0.006,0,859.509,12.933,-12.933,0,5774.8,5809.4,-5809.4,0,4.4,2.0,-2.0,0,1.75826,0.100673,-0.100673,0
101.968908,-17.724863,1.587,2.145,-2.145,0.0,-0.426,2.145,-2.145,0.0,2459225.1723,0.003351,-0.003351,0,1.9297769,1.12e-05,-1.12e-05,0,1.701,0.284,-0.284,0,4540.0,11.3209,-11.3209,0,7.58229,0.435823,-0.435823,0,310.868,1169.0,13.3742,0.006,-0.006,0,490.4271489148137,20.790227947403686,-20.790227947403686,0,4856.0,34.6,-34.6,0,4.304553584840654,0.16460809853794883,-0.16460809853794883,0,1.14,0.02,-0.02,0
274.268664,21.909546,-50.671,0.027,-0.027,0.0,26.134,0.052,-0.052,0.0,2459415.15198,0.002826,-0.002826,0,1.8498567,1.48e-05,-1.48e-05,0,2.518276,0.181074,-0.181074,0,195.4102498,15.124655,-15.124655,0,1.7193265,0.1346603,-0.1346603,0,1194.2103654,1499.3048942,7.9147,0.006,-0.006,0,56.0739,0.09555,-0.09555,0,5834.0,128.702,-128.702,0,4.44433,0.0782619,-0.0782619,0,1.0173301,0.0490452,-0.0490452,0
359.71347,-4.961134,23.141,0.104,-0.104,0.0,2.406,0.054,-0.054,0.0,2459465.671672,0.001788,-0.001788,0,2.5792489,0.000432,-0.000432,0,0.528,0.387,-0.387,0,7090.0,3946.54,-3946.54,0,19.2523,7.63589,-7.63589,0,56.7896,764.0,12.3913,0.007,-0.007,0,407.758,10.5535,-10.5535,0,5452.0,130.5,-130.5,0,4.34,0.08,-0.08,0,1.09,0.06,-0.06,0
251.80616,37.885957,-87.805,0.036,-0.036,0.0,127.575,0.048,-0.048,0.0,2460463.610974,0.004667,-0.004667,0,17.3840061,0.0001712,-0.0001712,0,3.932,0.64,-0.64,0,561.0,33.5326,-33.5326,0,1.69425,0.116438,-0.116438,0,29.5344,649.0,9.094,0.006,-0.006,0,64.2031,0.0912,-0.0912,0,5228.2,106.5,-106.5,0,4.56,0.08,-0.08,0,0.82,0.04,-0.04,0
300.047116,-71.966865,-32.655,0.034,-0.034,0.0,6.241,0.046,-0.046,0.0,2460142.849779,0.003688,-0.003688,0,5.8497196,4.53e-05,-4.53e-05,0,3.458,0.714,-0.714,0,507.0,35.8829,-35.8829,0,2.71286,0.1968,-0.1968,0,375.868,1226.0,10.0094,0.006,-0.006,0,191.394,1.0415,-1.0415,0,6009.6,128.5,-128.5,0,4.22,0.08,-0.08,0,1.35,0.07,-0.07,0
252.471891,47.316983,-4.311,0.04,-0.04,0.0,43.332,0.047,-0.047,0.0,2460471.356355,0.004781,-0.004781,0,4.9707023,2.63e-05,-2.63e-05,0,2.586,0.584,-0.584,0,487.0,30.6483,-30.6483,0,2.38733,0.155559,-0.155559,0,328.783,1186.0,9.88372,0.006,-0.006,0,174.932,0.657,-0.657,0,6109.0,128.225,-128.225,0,4.33438,0.0796843,-0.0796843,0,1.21,0.05,-0.05,0
302.999475,-37.561663,-15.798,0.087,-0.087,0.0,-13.701,0.053,-0.053,0.0,2459036.5003,0.00305,-0.00305,0,0.49642,0.00011,-0.00011,0,0.572,0.15,-0.15,0,1000.0,17.0583,-17.0583,0,5.57222,0.734314,-0.734314,0,2758.3,2018.0,10.9987,0.006,-0.006,0,416.129,8.4485,-8.4485,0,7000.0,205.8,-205.8,0,4.33,0.11,-0.11,0,1.41,0.09,-0.09,0
